FileId,Accepted,QCNotes
E-AFMX-9_151,N,Corrupt/Missing CEL
E-AFMX-9_152,N,Corrupt/Missing CEL
E-AFMX-9_153,N,Corrupt/Missing CEL
E-AFMX-9_154,N,Corrupt/Missing CEL
E-AFMX-9_155,N,Corrupt/Missing CEL
E-AFMX-9_156,N,Corrupt/Missing CEL
E-AFMX-9_157,N,Corrupt/Missing CEL
E-AFMX-9_158,N,Corrupt/Missing CEL
E-AFMX-9_159,N,Corrupt/Missing CEL
E-AFMX-9_160,N,Corrupt/Missing CEL
E-AFMX-9_161,N,Corrupt/Missing CEL
E-AFMX-9_162,N,Corrupt/Missing CEL
E-AFMX-9_163,N,Corrupt/Missing CEL
E-AFMX-9_164,N,Corrupt/Missing CEL
E-AFMX-9_165,N,Corrupt/Missing CEL
E-MEXP-1262_1,Y,NA
E-MEXP-1262_10,Y,NA
E-MEXP-1262_11,Y,NA
E-MEXP-1262_12,Y,NA
E-MEXP-1262_2,Y,NA
E-MEXP-1262_3,Y,NA
E-MEXP-1262_4,Y,NA
E-MEXP-1262_5,Y,NA
E-MEXP-1262_6,Y,NA
E-MEXP-1262_7,Y,NA
E-MEXP-1262_8,Y,NA
E-MEXP-1262_9,Y,NA
E-MEXP-1304_33,Y,NA
E-MEXP-1304_36,Y,NA
E-MEXP-1304_38,Y,NA
E-MEXP-1304_40,N,Manual Rejection
E-MEXP-1304_42,Y,NA
E-MEXP-1304_44,Y,NA
E-MEXP-1304_46,Y,NA
E-MEXP-1304_48,Y,NA
E-MEXP-1304_50,Y,NA
E-MEXP-1304_52,Y,NA
E-MEXP-1304_54,Y,NA
E-MEXP-1304_56,Y,NA
E-MEXP-1304_58,Y,NA
E-MEXP-1304_60,Y,NA
E-MEXP-1304_61,Y,NA
E-MEXP-1304_62,Y,NA
E-MEXP-1304_63,Y,NA
E-MEXP-1304_64,Y,NA
E-MEXP-1304_65,Y,NA
E-MEXP-1304_66,Y,NA
E-MEXP-1304_67,Y,NA
E-MEXP-1304_68,Y,NA
E-MEXP-1304_69,Y,NA
E-MEXP-1304_70,Y,NA
E-MEXP-1304_71,Y,NA
E-MEXP-1304_72,Y,NA
E-MEXP-1770_1,Y,NA
E-MEXP-1770_2,Y,NA
E-MEXP-1770_3,Y,NA
E-MEXP-1770_4,Y,NA
E-MEXP-1770_5,Y,NA
E-MEXP-1770_6,Y,NA
E-MEXP-1770_7,Y,NA
E-MEXP-1770_8,Y,NA
E-MEXP-1771_1,N,Manual Rejection
E-MEXP-1771_2,N,Manual Rejection
E-MEXP-1771_3,Y,NA
E-MEXP-1771_4,N,Manual Rejection
E-MEXP-1787_1,Y,NA
E-MEXP-1787_2,Y,NA
E-MEXP-1787_3,Y,NA
E-MEXP-1787_4,Y,NA
E-MEXP-1787_5,Y,NA
E-MEXP-1787_6,Y,NA
E-MEXP-185_1,Y,NA
E-MEXP-185_10,Y,NA
E-MEXP-185_2,Y,NA
E-MEXP-185_3,Y,NA
E-MEXP-185_4,Y,NA
E-MEXP-185_5,Y,NA
E-MEXP-185_6,Y,NA
